question,answer,difficulty,httpsource
"What is the full name of the witch who was the editor of The Quibbler?","Xenophilius Lovegood (though he is the editor, not a witch, the question is trickily phrased)","unmarked","#"
"What is the name of the charm that creates a band of golden light to bind an opponent?","Incarcerous","unmarked","#"
"What is the name of the owl that delivered Harry's first Hogwarts letter?","No specific owl is named for delivering Harry's letter; it was delivered by multiple owls.","unmarked","#"
"Which witch or wizard is known for inventing the Wolfsbane Potion?","Damocles Belby","unmarked","#"
"What is the name of the potion that Hermione Granger uses to change her appearance into Bellatrix Lestrange?","Polyjuice Potion","unmarked","#"
"What does the spell 'Deletrius' do?","Erases the effect of the Prior Incantato spell","unmarked","#"
"What is the full name of the wizard who was the original owner of the Elder Wand according to 'The Tale of the Three Brothers'?","Antioch Peverell","unmarked","#"
"What is the name of the book that is required reading for first-year Hogwarts students in Herbology?","One Thousand Magical Herbs and Fungi","unmarked","#"
"What is the incantation for the spell that causes its target to inflate like a balloon?","Engorgio","unmarked","#"
"What is the name of the wizarding village where the Dursleys take a vacation in 'Harry Potter and the Philosopher's Stone'?","Cokeworth","unmarked","#"
"What is the name of the Death Eater who was stationed in the Department of Mysteries during the Battle of the Department of Mysteries?","Augustus Rookwood","unmarked","#"
"What is the name of the owner of the Leaky Cauldron during Harry's time at Hogwarts?","Tom","unmarked","#"
"What is the name of Hermione Granger's cat?","Crookshanks","unmarked","#"
"What is the name of the Quidditch move designed to deceive the opposing team by pretending to catch the Snitch?","The Wronski Feint","unmarked","#"
"What is the name of the wizard who betrayed Harry Potter's parents to Voldemort?","Peter Pettigrew","unmarked","#"
"What is the name of the hidden room at Hogwarts that only appears when someone is in great need of it?","The Room of Requirement","unmarked","#"
"What is the full name of the witch who was the first female Minister for Magic?","Millicent Bagnold","unmarked","#"
"What is the name of the goblin who serves as the head of Gringotts Wizarding Bank during the Second Wizarding War?","Ragnok","unmarked","#"
"What is the name of the spell that is used to conjure birds from the tip of the wand?","Avis","unmarked","#"
"What is the name of the tea shop in Hogsmeade where Harry and Cho have an awkward date?","Madam Puddifoot's Tea Shop","unmarked","#"
"What is the full name of the author of 'Magical Theory,' a book used by first-year students at Hogwarts?","Adalbert Waffling","unmarked","#"
"What is the name of the potion that is known as 'Liquid Luck'?","Felix Felicis","unmarked","#"
"What is the name of the wizard who establishes the first magical school in America, Ilvermorny?","Isolt Sayre","unmarked","#"
"What is the name of the charm used to repel water?","Impervius","unmarked","#"
"What is the name of the spell that causes objects to shrink?","Reducio","unmarked","#"
"What is the name of the wizarding sweetshop located in Hogsmeade?","Honeydukes","unmarked","#"
"What is the full name of the witch who was known as 'The Mother of Modern Witchcraft'?","Elfrida Clagg","unmarked","#"
"What is the name of the spell that can banish a Boggart?","Riddikulus","unmarked","#"
"What is the name of the magical creature that resembles a black dog and is considered an omen of death?","The Grim","unmarked","#"
"What is the name of the shop where Harry buys his wand?","Ollivanders","unmarked","#"
"What is the name of the magical prison that Grindelwald is imprisoned in?","Nurmengard","unmarked","#"
"What is the name of the plant that when matured, releases spores that can cause memory loss?","Leaping Toadstools","unmarked","#"
"What is the name of the witch who was the Headmistress of Beauxbatons Academy of Magic during the Triwizard Tournament?","Madame Olympe Maxime","unmarked","#"
"What is the incantation for the spell that Hermione uses to make her bag have an undetectable extension charm?","There is no specific incantation mentioned; Hermione uses an Undetectable Extension Charm.","unmarked","#"
"What is the name of the wizard who created the first Philosopher’s Stone?","Nicolas Flamel","unmarked","#"
"What is the exact date of the final duel between Harry and Voldemort at the Battle of Hogwarts?","May 2, 1998","unmarked","#"
"Which phoenix’s tail feather cores both Harry’s and Voldemort’s wands?","Fawkes","unmarked","#"
"What is the full name of the collector who owned Helga Hufflepuff’s cup before Voldemort stole it?","Hepzibah Smith","unmarked","#"
"What is the Latin motto inscribed on the Hogwarts crest, and what is its English translation?","Draco Dormiens Nunquam Titillandus ('Never tickle a sleeping dragon')","unmarked","#"
"How many Knuts are equivalent to one Galleon in British wizarding currency?","493 (29 Knuts/Sickle × 17 Sickles/Galleon)","unmarked","#"
"What incantation does Snape invent to hoist a victim upside-down by their ankle?","Levicorpus","unmarked","#"
"Which breed of dragon did Fleur Delacour face in the Triwizard Tournament’s first task?","Welsh Green","unmarked","#"
"What spell creates a fiery whip-like rope to bind enemies, used by Hermione in Deathly Hallows?","Incarcerous","unmarked","#"
"What was the alias given to Hermione’s parents after she modified their memories?","Monica and Wendell Wilkins","unmarked","#"
"What item did Dumbledore bequeath to Ron Weasley in his will?","The Deluminator","unmarked","#"
"Which spell counteracts Alohomora by magically locking doors?","Colloportus","unmarked","#"
"Who was the Seeker for the Irish National Quidditch team during the 1994 World Cup?","Aidan Lynch","unmarked","#"
"What spell did Hermione use to create a protective boundary around their camp in Deathly Hallows?","Salvio Hexia","unmarked","#"
"Which witch introduced the Werewolf Code of Conduct to the Wizengamot in 1637?","Elfrida Clagg","unmarked","#"
"What is the name of the Healer who treated Arthur Weasley after Nagini’s attack in Order of the Phoenix?","Hippocrates Smethwyck","unmarked","#"
