question,answer,difficulty,httpsource
"What does ‘Legolas’ mean in Sindarin?","‘Greenleaf’","unmarked","#"
"Where do Bilbo and the Dwarves meet Elrond?","Rivendell (Imladris)","unmarked","#"
"Where are the Púkel-men statues located?","Dunharrow (path to the Dead Men)","unmarked","#"
"What are Sauron’s wolf-like servants called?","Wargs","unmarked","#"
"Who is the Lord of the Eagles?","Gwaihir the Windlord","unmarked","#"
"Who was High King of the Noldor after Fëanor?","Fingolfin (challenged Morgoth to single combat)","unmarked","#"
"What sword does Túrin wield against Glaurung?","Gurthang (‘Iron of Death’)","unmarked","#"
"What ended Morgoth’s reign in the First Age?","War of Wrath (host of Valinor vs. Morgoth)","unmarked","#"
"What is Morgoth’s original name?","Melkor (the first Dark Lord)","unmarked","#"
"Who first tamed the Oliphaunts of Harad?","Southrons (Haradrim)","unmarked","#"  
"Which Dwarf survives the Battle of the Five Armies?","Thorin Oakenshield (dies later from wounds)","unmarked","#"
"Where is the Star of the Dúnedain kept?","Elendilmir (worn by Aragorn)","unmarked","#"
"What is Gandalf’s original Maiar name?","Olórin (servant of Manwë and Varda)","unmarked","#"
"Who cursed the Dead Men of Dunharrow?","Isildur (for betraying him)","unmarked","#"
"What is the name of Shelob’s offspring?","Ungoliant (her ancestor in the First Age)","unmarked","#"
"What realm does Celeborn rule after the War?","East Lórien (or Laurelindórenan)","unmarked","#"
"Who sings the *Song of Eärendil* in Rivendell?","Bilbo Baggins (at the Council of Elrond)","unmarked","#"
"Which mortal man marries an Elf?","Beren (husband of Lúthien)","unmarked","#"
"Who reforges Narsil into Andúril?","Elven-smiths of Rivendell","unmarked","#"
"What is the Elvish name for Fangorn Forest?","Entshu (rendered as ‘Entwood’)","unmarked","#"
"What term refers to Elven immortality?","Undying (only their *fëar* persist)","unmarked","#"
"Who is Tom Bombadil’s wife?","Goldberry (River-daughter)","unmarked","#"
"Which wizard is the master of animals and birds?","Radagast the Brown (Aiwendil, of the Maiar)","unmarked","#"
"Which island kingdom do Aragorn and the Dead Men conquer?","Umbar (bastion of the Corsairs)","unmarked","#"
"Who leads Aragorn’s Rangers of the North?","Halbarad (standard-bearer of the Dúnedain)","unmarked","#"
"Who is the Witch-king’s master?","Sauron (lord of the Nazgûl)","unmarked","#"
"What is the origin of Merry’s sword?","Barrow-blade (forged by Westernesse to fight Angmar)","unmarked","#"
"What does ‘Legolas’ mean in Elvish?","‘Greenleaf’ (Sindarin dialect)","unmarked","#"
"Who is Denethor II’s youngest son?","Faramir (Captain of Gondor)","unmarked","#"
"Which Elven ring does Círdan surrender to Gandalf?","Narya the Great (Ring of Fire)","unmarked","#"
"What is the name of the inn in Bree?","The Prancing Pony (run by Barliman Butterbur)","unmarked","#"
"What creature ambushes the Fellowship at Moria’s gate?","Watcher in the Water (unknown kraken-like being)","unmarked","#"
"Where do the Entwives vanish?","The Brown Lands (destroyed by Sauron)","unmarked","#"
"Who leads the Hobbits in retaking the Shire?","Meriadoc ‘Merry’ Brandybuck and Peregrin ‘Pippin’ Took","unmarked","#"
"Who is Shelob’s ancient ancestor?","Ungoliant (giant spider of the First Age)","unmarked","#"
"What is the Quenya word for ‘star’?","*Elen* (plural: *Eleni*)","unmarked","#"
"Which king erected the Argonath statues?","Rómendacil II (to mark Gondor’s northern border)","unmarked","#"
"Who becomes Faramir’s wife after the War of the Ring?","Éowyn (Shieldmaiden of Rohan)","unmarked","#"
"What healing herb does Aragorn use on Frodo?","Athelas (Kingsfoil)","unmarked","#"
"Who recognizes Aragorn’s use of Athelas in Minas Tirith?","Ioreth (wise-woman of the Houses of Healing)","unmarked","#"
"What is the tallest tower in Minas Tirith?","The White Tower (Tower of Ecthelion)","unmarked","#"
"Whose stone trolls does Sam encounter in *The Two Towers*?","Tom, Bert, and William (from Bilbo’s adventure)","unmarked","#"
"Which Dwarf becomes King under the Mountain after Thorin?","Dáin II Ironfoot (Lord of the Iron Hills)","unmarked","#"
"What is the fate of the Entwives?","Lost; likely destroyed in Sauron’s wars","unmarked","#"
"Who is the first Númenórean king to rebel against the Valar?","Ar-Pharazôn the Golden (last King of Númenor)","unmarked","#"
"Which Dwarven king wears the Ring of Thrór?","Thrór (ancestor of Thorin Oakenshield)","unmarked","#"
"Who are the two Blue Wizards?","Alatar and Pallando (Ithryn Luin, sent to Rhûn)","unmarked","#"
"What is the name of Aragorn and Arwen’s son?","Eldarion Telcontar (heir to the Reunited Kingdom)","unmarked","#"
"Which Númenórean king cursed the Men of the White Mountains?","Isildur (curse lifted by Aragorn)","unmarked","#"
"Who accidentally causes King Thingol’s death?","Dwarves of Nogrod (over the Nauglamír)","unmarked","#"
"What is the Sindarin word for ‘hope’?","*Estel* (used as Aragorn’s childhood name)","unmarked","#"
"Which Vala oversees the Halls of the Dead?","Námo (Mandos, Judge of the Dead)","unmarked","#"
"What river marks the Shire’s eastern border?","Brandywine (Baranduin, ‘Brown River’)","unmarked","#"
"Who leads the Wild Men of Druadan Forest?","Ghân-buri-Ghân (chieftain of the Druedain)","unmarked","#"
"Which House of Men does Aragorn descend from?","House of Isildur (Line of Elendil)","unmarked","#"
"What happens to Saruman’s Ring of Power?","Destroyed with his death (or rendered inert)","unmarked","#"
"Who is the mother of Elrond and Elros?","Elwing (daughter of Dior Eluchíl)","unmarked","#"
"Which Elf crafted the Elessar stone?","Celebrimbor (or Enerdhil, per legend)","unmarked","#"
"What was Morgoth’s First Age fortress?","Angband (beneath Thangorodrim)","unmarked","#"
"Who composed the *Lay of Leithian*?","Daeron (minstrel of Doriath)","unmarked","#"
"What is Sauron’s werewolf commander called?","Draugluin (ancestor of werewolves)","unmarked","#"
"Which Dwarf refuses to reclaim Moria after Balin’s death?","Dáin II Ironfoot (King under the Mountain)","unmarked","#"
"What became of the Entwives?","Lost; gardens destroyed in the War of the Last Alliance","unmarked","#"
"Who is the Vala of the seas?","Ulmo (Lord of Waters)","unmarked","#"
"What is Gandalf’s First Age sword called?","Glamdring (Foe-hammer, wielded by Turgon)","unmarked","#"
"Which Hobbit becomes Thain of the Shire post-War?","Peregrin ‘Pippin’ Took (32nd Thain)","unmarked","#"
"Who forged the Dragon-helm of Dor-lómin?","Telchar of Nogrod (Dwarven smith)","unmarked","#"
"What is the Elvish term for the Misty Mountains?","Hithaeglir (‘Line of Misty Peaks’)","unmarked","#"
"Which Elf drives off the Nazgûl at the Ford of Bruinen?","Glorfindel (Lord of the House of the Golden Flower)","unmarked","#"
"Where did Durin I establish his kingdom?","Khazad-dûm (Moria, ‘Black Chasm’)","unmarked","#"
"Who is the eldest Father of the Dwarves?","Durin the Deathless (awakens at Mount Gundabad)","unmarked","#
 "Who is Túrin Turambar’s father?","Húrin Thalion (Lord of Dor-lómin)","unmarked","#" 
 "Which Vala created the Dwarves?","Aulë the Smith (Mahal, husband of Yavanna)","unmarked","#" 
 "What is the Sindarin name for the Moon?","*Ithil* (as in Minas Ithil, Tower of the Moon)","unmarked","#" 
 "Who is the traitorous Elf of Gondolin?","Maeglin (son of Eöl and Aredhel)","unmarked","#" 
 "Which Vala is Morgoth’s greatest foe?","Tulkas Astaldo (Champion of the Valar)","unmarked","#" 
 "What is the Dwarvish term for their written runes?","Cirth (adapted by Elves into the *Angerthas*)","unmarked","#" 
 "Who heals Arwen’s grievous wound in Lothlórien?","Elrond Half-elven (using Vilya’s power)","unmarked","#" 
 "Which mortal man confronts Morgoth in single combat?","Fingolfin (High King of the Noldor)","unmarked","#" 
 "Who guards the Grey Havens during the Third Age?","Círdan the Shipwright (bearer of Narya prior to Gandalf)","unmarked","#" 
 "Which creature does Fëanor’s son Curufin tame?","Huan the Hound of Valinor","unmarked","#" 
 "Where does Aragorn first meet Éowyn?","Edoras (in the Golden Hall of Meduseld)","unmarked","#" 
 "Who is the ruler of Eregion when Sauron forges the Rings?","Celebrimbor (Lord of the Gwaith-i-Mírdain)","unmarked","#" 
 "Which First Age battle ends in Morgoth’s defeat?","War of Wrath (Host of Valinor destroys Thangorodrim)","unmarked","#" 
 "Who carves the Doors of Durin?","Narvi (Dwarf) and Celebrimbor (Elf)","unmarked","#" 
 "Which Elven city is built in a hidden valley?","Gondolin (founded by Turgon)","unmarked","#" 
 "What destroys Minas Ithil?","The Nazgûl (captured and renamed Minas Morgul)","unmarked","#" 
 "Who is the mother of Fingolfin and Finarfin?","Indis (second wife of Finwë)","unmarked","#" 
 "What is the name of Shelob’s ancestor?","Ungoliant (consumed the Two Trees)","unmarked","#" 
 "Which elf-lord wields Ringil, the ice sword?","Fingolfin (used against Morgoth)","unmarked","#" 
 "Who leads the Vanyar Elves to Middle-earth?","Ingwë (High King of the Elves)","unmarked","#" 
 "What Elven realm does Galadriel rule before Lothlórien?","Eregion (co-ruled with Celeborn)","unmarked","#" 
 "Who is the author of *The Red Book of Westmarch*?","Bilbo and Frodo Baggins (later updated by Sam)","unmarked","#" 
 "Who is the first Dark Lord in Middle-earth?","Morgoth (Melkor)","unmarked","#" 
 "Which Númenórean queen defies Sauron?","Tar-Míriel (last Ruling Queen of Númenor)","unmarked","#" 
 "What is the Elvish term for the ‘Children of Ilúvatar’?","*Eruhíni* (Elves and Men)","unmarked","#"
 "Who is the father of Gil-galad?","Fingon (son of Fingolfin), according to later writings","unmarked","#" 
 "What is the Sindarin word for the Sun?","*Anor* (as in Minas Anor, Tower of the Sun)","unmarked","#" 
 "Which Vala accidentally awakens the Dwarves early?","Aulë (disobeying Ilúvatar’s design)","unmarked","#" 
 "Who is the leader of the Haradrim in *The Return of the King*?","The Black Serpent (unnamed chieftain)","unmarked","#" 
 "What is the name of Aragorn’s standard-bearer?","Halbarad (leader of the Grey Company)","unmarked","#" 
 "Which Dwarf from *The Hobbit* is Gimli’s cousin?","Balin (son of Fundin)","unmarked","#" 
 "Who is the master of the Great Eagles after Gwaihir?","Landroval (brother of Gwaihir)","unmarked","#" 
 "What is the name of Frodo’s family estate in the Shire?","Bag End (located in Hobbiton)","unmarked","#" 
 "Who is the first Ring-bearer after Sauron?","Isildur (cut the Ring from Sauron’s hand)","unmarked","#" 
 "Which Took ancestor invented golf?","Bandobras ‘Bullroarer’ Took","unmarked","#" 
 "What is the Dwarvish name for the Misty Mountains?","Hithaeglir (from Elvish, Dwarves use Khazad-dûm’s peaks)","unmarked","#" 
 "Who reforges the shards of Narsil?","Elven-smiths of Rivendell (before the Fellowship departs)","unmarked","#" 
 "Which Steward of Gondor rebuilds Osgiliath’s defenses?","Denethor I (father of Boromir and Faramir’s ancestor)","unmarked","#" 
 "Who is the dark-haired Elf in Thorin’s company?","Thranduil (Legolas’s father; not in the book, film addition)","unmarked","#" 
 "What is the name of the river bordering Mordor?","Anduin (Great River of Middle-earth)","unmarked","#" 
 "Who is Beren’s father?","Barahir (lord of the House of Bëor)","unmarked","#" 
 "What title does Éomer earn post-War?","King of Rohan (succeeds Théoden)","unmarked","#" 
 "How many Ents march to Isengard?","Approximately 50 Ents and Huorns","unmarked","#" 
 "Who sang the *Song of the Sea* in Rivendell?","Legolas (of the Woodland Realm)","unmarked","#" 
 "What was Morgoth’s original purpose in Arda?","To reshape the world (but corrupted by pride)","unmarked","#" 
 "Who is the eldest of the Istari (Wizards)?","Saruman the White (Curumo, first to arrive)","unmarked","#" 
 "What is the name of Bilbo’s father?","Bungo Baggins (son of Mungo)","unmarked","#" 
 "Which Elven realm is ruled by Thranduil?","Woodland Realm (Northern Mirkwood)","unmarked","#" 
 "What is the name of Sauron’s lieutenant in Dol Guldur?","Khamûl the Easterling (Second-in-command of the Nazgûl)","unmarked","#" 
 "Who cursed the Men of the Dead to walk Middle-earth?","Isildur (for betraying their oath)","unmarked","#"
